client_id,Variation,age_group,gender_clean
116345,Control,45–60,Female
1497401,Control,<30,Male
9583832,Test,45–60,Unknown
5619094,Test,60+,Male
2186143,Test,45–60,Female
1111086,Control,30–45,Male
777859,Control,<30,Unknown
3942070,Test,<30,Unknown
2754680,Control,30–45,Unknown
3242609,Test,60+,Unknown
5908066,Test,45–60,Female
4365422,Test,45–60,Female
5418315,Test,45–60,Female
6504620,Test,60+,Male
9188669,Control,45–60,Unknown
9748860,Control,45–60,Female
4264468,Test,30–45,Male
6690242,Control,30–45,Unknown
5047201,Test,<30,Unknown
4542413,Test,60+,Female
7452449,Control,60+,Female
1506121,Test,<30,Unknown
3128351,Test,<30,Unknown
1309444,Test,60+,Female
8063233,Test,30–45,Unknown
4060334,Control,<30,Unknown
4362459,Test,60+,Female
9847675,Control,60+,Unknown
388395,Test,60+,Male
6815832,Control,60+,Male
5391755,Control,<30,Female
4411577,Control,45–60,Female
9844262,Test,30–45,Unknown
4730148,Control,<30,Male
7906167,Control,45–60,Unknown
3694585,Control,30–45,Female
450423,Test,60+,Male
9798472,Test,45–60,Female
5283991,Control,45–60,Female
6209041,Test,30–45,Unknown
7511167,Test,60+,Male
8971654,Control,60+,Female
6165948,Control,60+,Male
6774181,Test,45–60,Female
1334827,Control,30–45,Female
8408200,Control,<30,Male
3084989,Control,<30,Unknown
2437429,Control,30–45,Female
1515115,Control,30–45,Male
3250135,Test,45–60,Unknown
9174161,Control,30–45,Female
3621553,Test,30–45,Male
5512547,Control,<30,Unknown
9519007,Test,30–45,Male
7995259,Test,45–60,Female
4919508,Control,60+,Female
7697945,Test,30–45,Male
6551602,Control,<30,Unknown
4977043,Test,30–45,Female
6090109,Test,60+,Female
6666515,Test,30–45,Unknown
931686,Test,45–60,Male
836164,Test,<30,Female
9029171,Test,30–45,Female
9985559,Control,30–45,Unknown
6514104,Test,30–45,Unknown
2876901,Test,45–60,Unknown
4862909,Test,30–45,Female
8455732,Control,45–60,Female
2368987,Control,45–60,Unknown
2781665,Test,30–45,Unknown
2007654,Test,<30,Female
6375858,Control,30–45,Unknown
6248651,Control,45–60,Male
8837677,Control,60+,Female
6807398,Control,60+,Male
3901956,Control,60+,Male
3083365,Test,60+,Unknown
8642798,Control,30–45,Unknown
1917368,Control,60+,Male
2606116,Control,45–60,Male
6837412,Control,60+,Unknown
1820934,Control,30–45,Unknown
6689398,Test,60+,Male
9951296,Test,30–45,Male
5794543,Test,45–60,Male
3689881,Control,60+,Unknown
6170447,Control,30–45,Male
831738,Test,30–45,Male
2680334,Test,45–60,Male
1152607,Test,45–60,Female
7608061,Test,<30,Male
1088932,Test,45–60,Male
1778976,Test,30–45,Male
8198645,Test,45–60,Female
425532,Control,30–45,Unknown
